judge_name	subject_ID	word	feature	done	british
ferragne	57	logs	lot	1	1
ferragne	57	grass	bath	1	-1
ferragne	57	water	flap	1	-1
ferragne	57	hotter	rhotic	1	-1
ferragne	59	logs	lot	1	1
ferragne	59	grass	bath	1	-1
ferragne	59	water	flap	1	1
ferragne	59	hotter	rhotic	1	1
ferragne	60	logs	lot	1	-1
ferragne	60	grass	bath	1	-1
ferragne	60	water	flap	1	-1
ferragne	60	hotter	rhotic	1	1
ferragne	61	logs	lot	1	1
ferragne	61	grass	bath	1	-1
ferragne	61	water	flap	1	1
ferragne	61	hotter	rhotic	1	1
ferragne	62	logs	lot	1	1
ferragne	62	grass	bath	1	-1
ferragne	62	water	flap	1	-1
ferragne	62	hotter	rhotic	1	-1
ferragne	63	logs	lot	1	1
ferragne	63	grass	bath	1	-1
ferragne	63	water	flap	1	1
ferragne	63	hotter	rhotic	1	1
ferragne	64	logs	lot	1	-1
ferragne	64	grass	bath	1	-1
ferragne	64	water	flap	1	-1
ferragne	64	hotter	rhotic	1	-1
ferragne	65	logs	lot	1	1
ferragne	65	grass	bath	1	0
ferragne	65	water	flap	1	1
ferragne	65	hotter	rhotic	1	1
ferragne	67	logs	lot	1	1
ferragne	67	grass	bath	1	-1
ferragne	67	water	flap	1	-1
ferragne	67	hotter	rhotic	1	-1
ferragne	68	logs	lot	1	1
ferragne	68	grass	bath	1	-1
ferragne	68	water	flap	1	1
ferragne	68	hotter	rhotic	1	1
ferragne	69	logs	lot	1	1
ferragne	69	grass	bath	1	-1
ferragne	69	water	flap	1	-1
ferragne	69	hotter	rhotic	1	-1
ferragne	70	logs	lot	1	1
ferragne	70	grass	bath	1	-1
ferragne	70	water	flap	1	-1
ferragne	70	hotter	rhotic	1	1
ferragne	73	logs	lot	1	1
ferragne	73	grass	bath	1	-1
ferragne	73	water	flap	1	1
ferragne	73	hotter	rhotic	1	1
ferragne	74	logs	lot	1	1
ferragne	74	grass	bath	1	-1
ferragne	74	water	flap	1	-1
ferragne	74	hotter	rhotic	1	-1
ferragne	75	logs	lot	1	1
ferragne	75	grass	bath	1	-1
ferragne	75	water	flap	1	-1
ferragne	75	hotter	rhotic	1	-1
ferragne	77	logs	lot	1	1
ferragne	77	grass	bath	1	-1
ferragne	77	water	flap	1	1
ferragne	77	hotter	rhotic	1	-1
ferragne	78	logs	lot	1	1
ferragne	78	grass	bath	1	-1
ferragne	78	water	flap	1	1
ferragne	78	hotter	rhotic	1	1
ferragne	79	logs	lot	1	1
ferragne	79	grass	bath	1	-1
ferragne	79	water	flap	1	1
ferragne	79	hotter	rhotic	1	0
ferragne	80	logs	lot	1	1
ferragne	80	grass	bath	1	-1
ferragne	80	water	flap	1	-1
ferragne	80	hotter	rhotic	1	-1
ferragne	83	logs	lot	1	1
ferragne	83	grass	bath	1	-1
ferragne	83	water	flap	1	-1
ferragne	83	hotter	rhotic	1	-1
ferragne	85	logs	lot	1	1
ferragne	85	grass	bath	1	-1
ferragne	85	water	flap	1	1
ferragne	85	hotter	rhotic	1	1
ferragne	86	logs	lot	1	1
ferragne	86	grass	bath	1	-1
ferragne	86	water	flap	1	1
ferragne	86	hotter	rhotic	1	1
ferragne	87	logs	lot	1	1
ferragne	87	grass	bath	1	-1
ferragne	87	water	flap	1	-1
ferragne	87	hotter	rhotic	1	-1
ferragne	88	logs	lot	1	1
ferragne	88	grass	bath	1	-1
ferragne	88	water	flap	1	-1
ferragne	88	hotter	rhotic	1	1
ferragne	89	logs	lot	1	-1
ferragne	89	grass	bath	1	-1
ferragne	89	water	flap	1	-1
ferragne	89	hotter	rhotic	1	-1
ferragne	90	logs	lot	1	1
ferragne	90	grass	bath	1	-1
ferragne	90	water	flap	1	1
ferragne	90	hotter	rhotic	1	-1
ferragne	91	logs	lot	1	1
ferragne	91	grass	bath	1	-1
ferragne	91	water	flap	1	-1
ferragne	91	hotter	rhotic	1	-1
ferragne	93	logs	lot	1	1
ferragne	93	grass	bath	1	-1
ferragne	93	water	flap	1	-1
ferragne	93	hotter	rhotic	1	-1
ferragne	94	logs	lot	1	-1
ferragne	94	grass	bath	1	-1
ferragne	94	water	flap	1	1
ferragne	94	hotter	rhotic	1	1
ferragne	95	logs	lot	1	-1
ferragne	95	grass	bath	1	-1
ferragne	95	water	flap	1	-1
ferragne	95	hotter	rhotic	1	-1
ferragne	96	logs	lot	1	1
ferragne	96	grass	bath	1	-1
ferragne	96	water	flap	1	-1
ferragne	96	hotter	rhotic	1	-1
ferragne	97	logs	lot	1	1
ferragne	97	grass	bath	1	-1
ferragne	97	water	flap	1	-1
ferragne	97	hotter	rhotic	1	1
ferragne	98	logs	lot	1	1
ferragne	98	grass	bath	1	-1
ferragne	98	water	flap	1	-1
ferragne	98	hotter	rhotic	1	1
ferragne	99	logs	lot	1	1
ferragne	99	grass	bath	1	-1
ferragne	99	water	flap	1	-1
ferragne	99	hotter	rhotic	1	-1
